Species,th.len.m,th.len.m_se,th.wid.m,th.wid.m_se,th.hei.m,th.hei.m_se,th.vol.m,th.vol.m_se,wing.area.m,wing.area.m_se,resid.th.vol.m,wing.loading.m,tot.dry.mass.m,tot.dry.mass.m_se,sp.total.len,sp.total.len_se,testis.len,testis.len_se,agland.area,agland.area_se,resid.agland.area,rank.res.ag.area,eb.extn_bin,eb.extn.branched_bin,eb.extn.len,eb.extn.len_se,eb.area,eb.area_se,resid.eb.area,rank.res.eb.area,dry.testis.mass,dry.testis.mass_se,resid.testis.mass,rank.res.testis.mass,TRI.m.weighted,TRI.m.unweighted,sperm.per.cop,sperm.per.cop_se,th.len.f,th.len.f_se,th.wid.f,th.wid.f_se,th.hei.f,th.hei.f_se,th.vol.f,th.vol.f_se,resid.th.vol.f,wing.area.f,wing.area.f_se,wing.loading.f,tot.dry.mass.f,tot.dry.mass.f_se,sr.len,sr.len_se,ovariole.no,ovariole.no_se,egg.len,egg.len_se,egg.wid.mean,egg.w_se,egg.asp.ratio,egg.vol,egg.vol_se,chor.app.no,chor.app.len,app.len_se,spth.duct.len,spth.duct.len_se,spth.cap.len,spth.cap.len_se,spth.cap.wid,spth.cap.wid_se,spth.cap.vol,spth.cap.vol_se,spth.int.len,spth.int.len_se,spth.melanized_bin,sp.sotrage_bin,virgin.cop.dur,virgin.cop.dur_se,remating.int.50,monandry_bin,remating.cop.dur,remating.cop.dur_se,re.vir.cop.diff,sp.eject_bin,sp.eject.time,sp.eject.time_se,plug_bin,insemin.rxn_bin,Age.reproductive.maturity.f,Age.reproductive.maturity.m,std.aging.rate.f,std.aging.rate.m,life.expectancy.f,life.expectancy.m,net.repro.output,early.repro.output,std.sex.siz.diff,std.aging.rate.bias,life.expectancy.bias,anisogamy,OSR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D_bifasciata,1.115,0.011,0.845,0.017,1.063,0.012,1.001,0.008,2.028,0.056,0.250,0.197,0.347,0.011,0.230,,0.572,0.019,0.124,0.007,-0.746,138,0,0,0,0,0.033,0.002,-0.357,109,0.004,0.001,-1.551,146,136.2,393,12000.000,0.000,1.218,0.013,0.880,0.003,1.175,0.015,1.259,0.007,0.109,2.523,0.062,0.160,0.628,0.010,0.526,0.037,40.800,0.860,0.470,0.005,0.177,0.002,2.658,0.008,0.000,2.000,0.330,0.007,0.139,0.006,0.062,0.005,0.062,0.002,0.000,0.000,0.030,0.002,1,0,6.854,0.415,28.000,0,5.818,0.400,0.849,1,600.000,,1,0,4.000,2.000,0.810,0.740,9.397,12.576,48.000,28.000,0.228,0.067,-0.420,0.011,2.912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D_bifurca,1.544,0.017,0.980,0.014,1.436,0.021,2.173,0.017,3.576,0.072,0.335,0.357,0.819,0.049,58.290,0.660,64.568,0.937,0.251,0.012,-0.366,114,0,0,0,0,0.070,0.010,0.036,80,0.086,0.004,0.516,7,53.7,201,51.600,5.644,1.533,0.026,1.000,0.014,1.448,0.023,2.220,0.020,0.352,3.750,0.197,0.387,1.085,0.056,81.646,2.395,46.600,0.678,0.538,0.003,0.177,0.002,3.043,0.009,0.000,4.000,0.709,0.015,0.275,0.012,0.085,0.005,0.058,0.003,0.000,0.000,,,0,1,2.775,0.181,0.500,0,2.462,0.215,0.887,0,,,0,0,7.000,17.000,4.310,3.460,151.877,111.127,527.000,229.000,0.021,0.851,0.451,0.000,-0.242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D_bipectinata,0.775,0.009,0.635,0.013,0.778,0.011,0.383,0.004,0.960,0.075,-0.038,-0.152,0.150,0.018,1.750,,2.144,0.029,0.135,0.008,-0.259,98,0,0,0,0,0.130,0.090,1.439,11,0.004,0.001,-0.518,92,77.6,201,126.000,8.000,0.853,0.016,0.725,0.016,0.908,0.017,0.561,0.006,-0.115,1.072,0.052,-0.389,0.234,0.003,4.305,0.057,28.750,1.206,0.425,0.005,0.163,0.002,2.611,0.006,0.000,2.000,0.326,0.007,0.178,0.017,0.075,0.001,0.074,0.003,0.000,0.000,0.065,0.003,1,0,10.185,0.486,14.000,0,9.059,0.565,0.889,1,600.000,,1,0,4.000,2.000,4.060,3.560,38.332,57.343,117.000,33.000,0.378,0.498,-0.581,0.001,2.058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D_birchii,0.898,0.013,0.710,0.025,1.038,0.037,0.661,0.011,1.135,0.007,0.234,-0.147,0.211,0.004,4.204,0.305,4.518,0.065,0.181,0.014,-0.193,91,0,0,0,0,0.036,0.002,-0.084,91,0.005,0.001,-0.782,121,106,303,563.600,70.972,0.943,0.013,0.713,0.013,0.833,0.012,0.559,0.005,-0.024,1.130,0.032,-0.288,0.200,0.010,4.983,0.047,19.500,0.645,0.484,0.004,0.165,0.002,2.939,0.007,0.000,2.000,0.472,0.011,0.136,0.003,0.056,0.002,0.058,0.005,0.000,0.000,,,0,1,3.649,0.156,1.000,0,2.778,0.319,0.761,1,600.000,,1,0,4.000,4.000,6.720,6.510,103.404,111.359,305.000,78.000,-0.167,0.211,-0.107,0.001,-0.107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D_bocqueti,0.913,0.045,0.723,0.035,0.855,0.039,0.564,0.016,1.223,0.030,0.025,-0.102,0.225,0.012,2.863,0.100,3.812,0.090,0.217,0.016,0.053,66,0,0,0,0,0.034,0.003,-0.069,90,0.008,0.001,-0.268,73,74.3,229,762.000,94.700,0.915,0.007,0.705,0.013,0.888,0.016,0.573,0.005,-0.116,1.620,0.010,0.012,0.243,0.012,3.560,0.020,30.750,1.109,0.465,0.003,0.164,0.003,2.835,0.007,0.000,2.000,0.400,0.009,0.141,0.009,0.061,0.003,0.060,0.004,0.000,0.000,,,0,1,8.885,0.914,4.000,0,8.538,0.550,0.961,1,207.060,22.358,1,0,4.000,4.000,2.250,2.250,41.858,42.275,262.000,125.000,0.016,-0.004,-0.014,0.001,1.372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D_borealis,1.228,0.009,0.808,0.006,1.173,0.020,1.162,0.008,2.431,0.025,0.128,0.218,0.487,0.025,7.540,0.050,8.052,0.317,0.191,0.019,-0.378,116,0,0,0,0,0.079,0.005,0.443,49,0.044,0.004,0.474,9,49.1,174,433.400,18.664,1.175,0.015,0.810,0.011,1.160,0.016,1.104,0.008,-0.001,2.386,0.037,0.116,0.606,0.029,13.048,0.170,23.000,0.707,0.557,0.006,0.178,0.001,3.134,0.009,0.000,4.000,0.406,0.007,0.137,0.005,0.135,0.003,0.103,0.002,0.001,0.000,0.113,0.003,1,0,2.850,0.141,1.000,0,2.333,0.167,0.819,1,159.000,22.550,1,0,4.000,9.000,2.600,2.380,127.222,60.041,421.000,57.000,-0.051,0.223,1.083,0.000,1.083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D_bunnanda,0.860,0.024,0.690,0.005,0.793,0.024,0.470,0.007,1.060,0.012,-0.036,-0.174,0.194,0.006,1.049,0.043,1.783,0.026,0.225,0.009,0.166,50,0,0,0,0,0.030,0.004,-0.122,93,0.005,0.001,-0.611,103,85.1,246,741.400,18.627,0.995,0.006,0.743,0.006,0.933,0.006,0.689,0.003,-0.039,1.295,0.014,-0.268,0.292,0.012,1.946,0.071,21.750,0.479,0.498,0.005,0.172,0.002,2.889,0.008,0.000,2.000,0.441,0.018,0.130,0.028,0.039,0.001,0.033,0.002,0.000,0.000,,,0,1,4.950,0.138,1.000,0,5.133,0.192,1.037,1,168.780,7.022,1,0,4.000,5.000,4.240,3.750,44.649,39.774,229.000,94.000,0.377,0.489,0.167,0.002,0.167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D_burlai,0.715,0.017,0.660,0.048,0.723,0.016,0.341,0.009,0.979,0.019,-0.008,-0.047,0.125,0.008,2.581,0.029,3.074,0.034,0.213,0.013,0.248,41,0,0,0,0,0.057,0.003,0.658,35,0.003,0.000,-0.643,106,72.3,182,654.800,48.872,0.835,0.014,0.620,0.012,0.755,0.023,0.391,0.005,-0.211,1.257,0.042,-0.092,0.150,0.004,3.054,0.028,27.000,0.408,0.506,0.006,0.157,0.003,3.229,0.007,0.000,2.000,0.524,0.011,0.119,0.002,0.074,0.004,0.057,0.004,0.000,0.000,,,0,1,11.267,0.494,4.000,0,12.538,0.958,1.113,1,600.000,,1,0,4.000,4.000,6.930,7.050,143.328,131.804,736.000,156.000,0.136,-0.121,0.121,0.001,1.507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D_busckii,0.938,0.006,0.705,0.006,0.788,0.022,0.520,0.005,1.203,0.026,0.089,-0.034,0.188,0.008,1.180,,1.606,0.100,0.141,0.008,-0.343,108,0,0,0,0,0.057,0.005,0.480,46,0.014,0.008,0.486,8,45.6,162,924.200,43.696,1.020,0.010,0.808,0.020,0.910,0.026,0.750,0.010,0.036,1.485,0.020,-0.136,0.296,0.018,1.377,0.109,32.400,0.927,0.533,0.007,0.181,0.004,2.938,0.009,0.001,2.000,0.320,0.007,0.053,0.007,0.056,0.003,0.067,0.001,0.000,0.000,0.032,0.004,1,0,19.487,0.596,3.000,0,25.615,1.412,1.314,1,229.500,15.977,1,0,2.000,0.000,4.290,4.280,59.574,56.439,513.000,156.000,0.361,0.010,0.078,0.003,1.177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D_buzzatii,0.990,0.019,0.678,0.012,0.915,0.021,0.614,0.007,1.846,0.075,-0.546,-0.078,0.509,0.033,1.679,0.023,2.334,0.066,0.531,0.125,0.915,6,1,0,0.232,0.071358251,0.026,0.002,-0.391,112,0.033,0.002,0.134,30,39.2,148,527.800,43.349,1.070,0.010,0.748,0.011,0.970,0.012,0.776,0.005,-0.439,2.234,0.053,0.006,0.699,0.016,5.601,0.105,37.800,1.281,0.438,0.003,0.152,0.003,2.871,0.005,0.000,4.000,0.422,0.006,0.162,0.016,0.034,0.002,0.043,0.003,0.000,0.000,0.015,0.001,1,1,1.850,0.191,0.500,0,2.000,0.226,1.081,0,,,0,1,5.000,6.000,4.430,4.710,27.238,19.315,79.000,26.000,0.233,-0.281,0.496,0.001,-0.197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D_carrolli,1.143,0.014,0.895,0.011,1.095,0.007,1.121,0.007,1.538,0.022,0.127,-0.219,0.466,0.016,3.452,0.185,5.192,0.036,0.156,0.006,-0.566,127,0,0,0,0,0.042,0.001,-0.169,98,0.005,0.000,-1.755,148,131.7,373,2150.200,143.586,1.251,0.012,0.930,0.014,1.168,0.017,1.359,0.010,0.186,1.645,0.073,-0.267,0.628,0.021,4.423,0.120,16.200,0.860,0.643,0.004,0.229,0.003,2.812,0.018,0.000,2.000,0.360,0.010,0.205,0.019,0.075,0.001,0.067,0.003,0.000,0.000,0.058,0.002,1,0,13.933,0.613,21.000,0,13.900,0.836,0.998,1,600.000,,1,0,4.000,3.000,4.690,5.760,97.882,41.406,36.000,18.000,0.192,-1.069,1.241,0.002,4.286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D_chauvacae,0.893,0.019,0.650,0.020,0.928,0.049,0.538,0.012,1.194,0.052,-0.032,-0.132,0.228,0.016,3.091,0.136,4.297,0.075,0.365,0.013,0.595,15,0,0,0,0,0.062,0.003,0.537,39,0.009,0.002,-0.157,59,41.8,113,535.000,32.303,0.930,0.012,0.693,0.006,0.920,0.021,0.593,0.005,-0.218,1.403,0.034,-0.204,0.306,0.028,4.443,0.010,30.500,0.645,0.471,0.006,0.166,0.002,2.836,0.007,0.000,2.000,0.398,0.008,0.186,0.004,0.060,0.003,0.066,0.002,0.000,0.000,,,0,1,5.436,0.183,2.000,0,4.857,0.254,0.894,1,166.667,9.592,1,0,4.000,4.000,5.790,5.320,102.211,134.054,508.000,226.000,0.096,0.470,-0.391,0.001,0.302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D_curta,0.923,0.005,0.725,0.010,0.835,0.021,0.558,0.006,1.253,0.017,0.137,-0.006,0.193,0.009,2.002,0.016,2.253,0.109,0.228,0.025,0.107,62,0,0,0,0,0.011,0.001,-1.203,143,0.004,0.001,-0.716,114,104.2,319,342.600,36.305,1.060,0.015,0.875,0.031,1.015,0.019,0.941,0.013,0.019,1.583,0.054,-0.201,0.448,0.027,3.229,0.097,38.400,0.510,0.612,0.018,0.218,0.003,2.811,0.015,0.001,2.000,0.316,0.014,0.161,0.001,0.067,0.003,0.066,0.002,0.000,0.000,,,0,1,12.800,0.425,2.000,0,12.923,1.047,1.010,1,73.500,5.220,1,1,4.000,4.000,3.690,3.420,18.103,27.342,75.000,51.000,0.511,0.275,-0.595,0.003,0.098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D_diplacantha,1.095,0.017,0.778,0.005,1.053,0.020,0.896,0.007,1.589,0.026,0.129,-0.053,0.351,0.017,2.741,0.109,3.011,0.026,0.336,0.026,0.298,37,0,0,0,0,0.037,0.005,-0.194,99,0.013,0.001,-0.327,81,71.4,217,391.400,15.839,1.113,0.013,0.843,0.014,1.110,0.024,1.040,0.010,-0.040,1.810,0.023,-0.150,0.585,0.035,3.206,0.066,23.400,0.678,0.540,0.005,0.183,0.002,2.949,0.009,0.000,2.000,0.405,0.009,0.166,0.018,0.097,0.004,0.082,0.001,0.001,0.000,,,0,1,7.550,0.358,7.000,0,7.923,0.693,1.049,1,201.000,17.635,1,0,4.000,4.000,4.150,3.290,49.094,103.036,98.000,63.000,0.149,0.862,-1.070,0.001,0.876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D_emarginata,0.990,0.005,0.723,0.008,0.915,0.007,0.654,0.003,1.405,0.021,-0.091,-0.120,0.313,0.010,10.600,0.720,6.692,0.136,0.160,0.008,-0.314,103,0,0,0,0,0.037,0.003,-0.053,88,0.019,0.003,0.177,27,62,218,46.800,3.056,1.133,0.008,0.805,0.010,1.088,0.004,0.991,0.005,0.041,2.019,0.027,0.027,0.471,0.016,39.868,0.255,37.600,0.510,0.465,0.005,0.168,0.001,2.776,0.007,0.000,2.000,0.406,0.007,0.261,0.031,0.178,0.010,0.179,0.006,0.006,0.001,0.113,0.016,1,0,41.225,0.895,21.000,0,38.417,1.438,0.932,1,600.000,,1,0,4.000,7.000,4.840,4.830,74.375,42.590,177.000,53.000,0.409,0.006,0.804,0.000,3.849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D_eohydei,1.220,0.022,0.835,0.025,1.070,0.023,1.090,0.015,2.217,0.072,0.223,0.220,0.399,0.025,18.110,0.270,19.549,1.097,0.225,0.024,-0.187,90,0,0,0,0,0.068,0.002,0.317,62,0.034,0.002,0.444,12,45.4,164,82.000,6.663,1.053,0.022,0.695,0.023,0.908,0.017,0.664,0.010,-0.400,2.457,0.056,0.203,0.503,0.026,27.702,0.513,40.400,0.245,0.495,0.003,0.186,0.011,2.666,0.010,0.002,4.000,0.481,0.009,0.272,0.017,0.188,0.006,0.075,0.002,0.001,0.000,,,0,0,1.700,0.125,0.500,0,2.000,0.213,1.176,0,,,0,0,3.000,7.000,3.720,3.270,137.936,108.914,133.000,16.000,-0.486,0.448,0.341,0.000,-0.352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D_equinoxialis,0.780,0.005,0.615,0.005,0.707,0.006,0.339,0.002,1.921,0.031,-0.037,0.614,0.129,0.004,4.700,0.420,1.571,0.022,0.376,0.012,0.819,8,0,0,0,0,0.079,0.003,0.997,21,0.012,0.000,0.764,1,7.1,30,60.000,4.000,0.881,0.011,0.718,0.009,0.901,0.006,0.569,0.004,0.225,2.403,0.030,0.588,0.135,0.001,12.601,0.061,23.750,0.629,0.489,0.003,0.169,0.002,2.898,0.007,0.000,2.000,0.315,0.002,0.193,0.009,0.109,0.006,0.112,0.003,0.001,0.000,0.084,0.008,1,0,15.775,0.529,14.000,0,20.273,1.514,1.285,1,600.000,,1,0,4.000,0.000,5.050,5.620,50.880,33.963,539.000,178.000,0.507,-0.573,0.583,0.001,3.222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D_ercepeae,1.143,0.013,0.763,0.013,1.068,0.006,0.930,0.007,1.736,0.024,0.130,0.014,0.368,0.011,2.855,0.187,4.453,0.217,0.256,0.011,0.009,74,0,0,0,0,0.076,0.005,0.504,42,0.022,0.002,0.102,33,47.1,149,410.800,9.367,1.155,0.013,0.838,0.016,1.115,0.016,1.079,0.009,0.095,1.859,0.064,-0.071,0.496,0.027,7.595,0.272,31.000,0.894,0.490,0.005,0.177,0.001,2.776,0.008,0.000,2.000,0.245,0.006,0.142,0.014,0.123,0.002,0.089,0.001,0.001,0.000,0.109,0.002,1,0,13.744,0.540,1.000,0,13.692,0.796,0.996,1,180.000,11.832,1,0,4.000,3.000,5.380,5.280,96.433,109.118,135.000,48.000,0.148,0.096,-0.178,0.001,-0.178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D_erecta,0.790,0.013,0.655,0.012,0.778,0.019,0.402,0.005,1.095,0.037,0.035,-0.007,0.146,0.009,1.150,0.008,1.244,0.087,0.177,0.005,-0.009,76,0,0,0,0,0.034,0.002,0.063,78,0.005,0.001,-0.310,77,76.9,231,1697.800,20.053,1.003,0.017,0.790,0.020,0.935,0.016,0.740,0.009,-0.146,1.377,0.041,-0.301,0.394,0.029,1.533,0.067,32.286,1.643,0.496,0.002,0.167,0.001,2.972,0.007,0.000,2.000,0.367,0.009,0.164,0.010,0.056,0.002,0.067,0.004,0.000,0.000,0.044,0.001,1,0,18.733,0.489,35.000,1,,,0.000,1,246.818,20.761,1,0,4.000,2.000,3.840,4.110,115.026,90.868,453.000,190.000,0.592,-0.273,0.340,0.002,3.895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D_falleni,1.070,0.012,0.780,0.015,1.005,0.016,0.839,0.008,1.927,0.132,0.037,0.125,0.363,0.024,10.984,0.719,12.184,0.265,0.169,0.017,-0.362,113,1,0,0.422,0.106691143,0.073,0.004,0.508,41,0.007,0.002,-0.971,133,108.6,287,381.000,28.851,1.165,0.017,0.850,0.009,1.088,0.014,1.077,0.008,-0.073,2.533,0.065,0.151,0.657,0.013,14.209,0.440,31.400,1.166,0.495,0.003,0.186,0.003,2.666,0.009,0.000,3.000,0.156,0.005,0.153,0.012,0.166,0.004,0.099,0.003,0.001,0.000,0.144,0.002,1,0,8.275,0.286,35.000,1,,,0.000,0,,,1,1,4.000,4.000,2.750,2.760,28.813,23.846,51.000,34.000,0.249,-0.011,0.273,0.000,3.828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D_ficusphila,1.093,0.022,0.743,0.015,1.015,0.017,0.823,0.009,1.463,0.056,0.080,-0.114,0.336,0.022,1.800,,2.829,0.104,0.267,0.046,0.104,63,0,0,0,0,0.006,0.001,-1.984,149,0.015,0.001,-0.179,61,79.2,273,739.800,45.720,1.158,0.028,0.810,0.028,1.033,0.022,0.968,0.015,0.383,1.769,0.073,0.087,0.254,0.016,2.515,0.043,17.857,0.738,0.508,0.006,0.180,0.001,2.818,0.009,0.000,2.000,0.236,0.007,0.348,0.009,0.070,0.002,0.095,0.002,0.000,0.000,0.059,0.001,1,0,8.581,0.263,1.000,0,7.071,0.246,0.824,1,168.333,14.954,1,0,4.000,3.000,4.290,3.040,17.108,48.417,95.000,37.000,0.162,1.251,-1.501,0.002,-1.501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D_formosana,1.300,0.023,0.823,0.011,1.005,0.017,1.075,0.010,2.017,0.060,-0.008,-0.003,0.523,0.034,1.256,0.044,1.349,0.076,0.156,0.025,-0.548,125,1,2,1.566333333,0.203657392,0.152,0.003,1.130,15,0.024,0.004,-0.205,66,73.5,206,248.200,63.949,1.349,0.016,0.890,0.013,1.038,0.016,1.246,0.010,0.054,2.442,0.082,0.105,0.677,0.066,2.382,0.068,49.000,0.816,0.485,0.005,0.185,0.002,2.618,0.009,0.000,4.000,0.597,0.012,0.137,0.022,0.085,0.004,0.100,0.003,0.001,0.000,0.065,0.005,1,0,41.275,2.153,35.000,1,,,0.000,0,,,1,0,4.000,3.000,2.850,2.630,39.111,51.250,88.000,16.000,0.148,0.222,-0.390,0.002,3.165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D_fulvimacula,1.498,0.023,1.003,0.015,1.403,0.020,2.109,0.018,2.884,0.092,0.247,0.107,0.882,0.110,6.344,0.295,8.667,0.117,0.418,0.030,0.157,53,0,0,0,0,0.130,0.005,0.666,34,0.025,0.006,-0.808,123,84.2,210,361.400,57.861,1.644,0.023,1.124,0.021,1.592,0.014,2.942,0.025,0.526,3.685,0.098,0.313,1.301,0.124,14.268,0.251,60.400,3.600,0.521,0.004,0.174,0.002,2.990,0.008,0.000,4.000,0.461,0.021,0.031,0.001,0.006,0.000,0.006,0.000,0.000,0.000,0.003,0.000,1,0,1.415,0.078,7.000,0,2.231,0.257,1.577,1,193.500,6.874,1,0,4.000,6.000,3.760,4.350,101.210,39.314,84.000,31.000,0.330,-0.589,1.364,0.000,3.310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D_funebris,1.038,0.007,0.750,0.010,1.000,0.013,0.778,0.005,1.961,0.045,-0.281,-0.001,0.491,0.027,7.182,0.079,10.636,0.083,0.214,0.007,-0.093,81,1,1,0.753666667,0.036253735,0.087,0.002,0.718,31,0.013,0.001,-0.752,116,88.5,228,261.400,46.280,1.257,0.027,0.889,0.017,1.181,0.029,1.320,0.016,-0.141,2.610,0.048,0.039,1.036,0.071,12.532,0.336,57.800,1.594,0.522,0.004,0.178,0.001,2.934,0.009,0.000,4.000,0.374,0.006,0.175,0.029,0.180,0.005,0.149,0.002,0.003,0.000,0.157,0.008,1,0,19.400,0.453,35.000,1,,,0.000,0,,,1,1,4.000,4.000,1.580,1.980,38.607,21.754,58.000,17.000,0.516,-0.403,0.828,0.000,4.383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D_fuyamai,1.010,0.020,0.723,0.023,0.955,0.025,0.697,0.011,1.431,0.054,-0.038,-0.107,0.316,0.015,3.174,0.133,3.318,0.181,0.134,0.011,-0.519,122,0,0,0,0,0.056,0.005,0.319,61,0.007,0.001,-0.925,130,113.8,313,553.600,35.669,1.190,0.028,0.835,0.017,1.185,0.024,1.177,0.015,0.122,1.934,0.048,-0.064,0.549,0.015,3.802,0.149,18.600,0.400,0.504,0.006,0.160,0.002,3.140,0.007,0.000,2.000,0.250,0.006,0.157,0.019,0.079,0.002,0.072,0.002,0.000,0.000,0.064,0.003,1,0,9.425,0.199,7.000,0,9.538,0.215,1.012,1,600.000,,1,0,4.000,3.000,3.580,3.350,63.900,78.326,167.000,50.000,0.513,0.234,-0.294,0.001,1.652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D_gaucha,1.143,0.010,0.886,0.020,1.089,0.016,1.102,0.010,2.084,0.026,0.139,0.102,0.449,0.019,3.900,0.107,5.689,0.064,0.223,0.018,-0.200,92,1,0,0.353666667,0.0260832,0.087,0.001,0.554,37,0.016,0.002,-0.466,90,80,219,877.200,23.551,1.222,0.021,0.930,0.019,1.178,0.006,1.339,0.012,0.137,2.204,0.044,0.008,0.665,0.013,8.814,0.270,36.400,0.678,0.426,0.003,0.160,0.001,2.663,0.006,0.000,4.000,0.334,0.007,0.296,0.011,0.149,0.005,0.129,0.004,0.001,0.000,0.095,0.007,1,0,46.750,1.036,7.000,0,30.308,2.742,0.648,1,358.500,12.339,1,0,4.000,6.000,3.590,3.530,52.100,28.096,110.000,79.000,0.194,0.060,0.891,0.000,2.837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D_greeni,0.935,0.025,0.688,0.022,0.800,0.020,0.514,0.008,1.385,0.026,-0.105,0.000,0.236,0.011,4.496,0.085,5.217,0.077,0.223,0.024,0.119,59,0,0,0,0,0.018,0.002,-0.674,120,0.012,0.001,0.046,37,60.2,216,813.000,71.119,0.968,0.013,0.735,0.013,0.900,0.013,0.640,0.006,-0.234,1.633,0.019,-0.100,0.358,0.008,5.724,0.182,28.200,0.583,0.482,0.004,0.169,0.002,2.852,0.007,0.000,2.000,0.316,0.007,0.173,0.015,0.057,0.003,0.052,0.001,0.000,0.000,,,0,1,16.158,0.593,7.000,0,12.750,0.901,0.789,1,438.200,80.559,1,0,4.000,4.000,6.350,6.100,26.601,30.402,424.000,134.000,0.218,0.251,-0.193,0.001,1.753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
