Species,th.len.m,th.len.m_se,th.wid.m,th.wid.m_se,th.hei.m,th.hei.m_se,th.vol.m,th.vol.m_se,wing.area.m,wing.area.m_se,resid.th.vol.m,wing.loading.m,tot.dry.mass.m,tot.dry.mass.m_se,sp.total.len,sp.total.len_se,testis.len,testis.len_se,agland.area,agland.area_se,resid.agland.area,rank.res.ag.area,eb.extn_bin,eb.extn.branched_bin,eb.extn.len,eb.extn.len_se,eb.area,eb.area_se,resid.eb.area,rank.res.eb.area,dry.testis.mass,dry.testis.mass_se,resid.testis.mass,rank.res.testis.mass,TRI.m.weighted,TRI.m.unweighted,sperm.per.cop,sperm.per.cop_se,th.len.f,th.len.f_se,th.wid.f,th.wid.f_se,th.hei.f,th.hei.f_se,th.vol.f,th.vol.f_se,resid.th.vol.f,wing.area.f,wing.area.f_se,wing.loading.f,tot.dry.mass.f,tot.dry.mass.f_se,sr.len,sr.len_se,ovariole.no,ovariole.no_se,egg.len,egg.len_se,egg.wid.mean,egg.w_se,egg.asp.ratio,egg.vol,egg.vol_se,chor.app.no,chor.app.len,app.len_se,spth.duct.len,spth.duct.len_se,spth.cap.len,spth.cap.len_se,spth.cap.wid,spth.cap.wid_se,spth.cap.vol,spth.cap.vol_se,spth.int.len,spth.int.len_se,spth.melanized_bin,sp.sotrage_bin,virgin.cop.dur,virgin.cop.dur_se,remating.int.50,monandry_bin,remating.cop.dur,remating.cop.dur_se,re.vir.cop.diff,sp.eject_bin,sp.eject.time,sp.eject.time_se,plug_bin,insemin.rxn_bin,Age.reproductive.maturity.f,Age.reproductive.maturity.m,std.aging.rate.f,std.aging.rate.m,life.expectancy.f,life.expectancy.m,net.repro.output,early.repro.output,std.sex.siz.diff,std.aging.rate.bias,life.expectancy.bias,anisogamy,OSR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D_arawakana,0.883,0.011,0.648,0.008,0.875,0.011,0.500,0.004,1.162,0.033,-0.328,-0.291,0.300,0.007,2.293,0.088,3.120,0.079,0.055,0.003,-1.267,149,1,1,0.691,0.071895758,0.091,0.006,0.961,22,0.003,0.001,-1.603,147,122.6,318,883.200,37.807,0.965,0.014,0.710,0.013,0.925,0.018,0.634,0.007,-0.401,1.423,0.033,-0.320,0.466,0.009,4.340,0.159,30.400,0.400,0.472,0.004,0.163,0.002,2.892,0.007,0.000,4.000,0.418,0.008,0.135,0.017,0.094,0.003,0.089,0.002,0.001,0.000,0.040,0.001,1,0,31.436,1.856,35.000,1,,,0.000,0,,,1,1,4.000,4.000,3.750,3.630,45.914,50.141,110.000,51.000,0.236,0.123,-0.127,0.001,3.428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D_arizonae,0.840,0.022,0.595,0.016,0.790,0.026,0.395,0.007,1.215,0.050,-0.093,0.033,0.167,0.011,1.520,0.010,2.221,0.059,0.258,0.016,0.378,29,0,0,0,0,0.021,0.002,-0.400,113,0.008,0.001,0.009,44,53.3,186,1207.000,66.819,0.978,0.027,0.733,0.016,0.943,0.034,0.675,0.011,-0.052,1.514,0.064,-0.108,0.288,0.031,4.568,0.162,23.800,1.319,0.419,0.003,0.164,0.002,2.548,0.006,0.000,4.000,0.427,0.008,0.189,0.018,0.044,0.001,0.030,0.001,0.000,0.000,0.023,0.001,0,1,1.366,0.076,4.000,0,1.846,0.191,1.352,1,423.333,5.465,1,1,3.000,4.000,3.440,3.370,95.182,102.740,338.000,197.000,0.524,0.071,-0.110,0.001,1.276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D_atripex,0.868,0.016,0.745,0.031,1.080,0.030,0.698,0.012,1.150,0.003,0.320,-0.115,0.203,0.007,2.557,0.010,3.038,0.293,0.251,0.031,0.111,61,0,0,0,0,0.039,0.001,-0.046,87,0.004,0.000,-0.766,118,94.7,266,435.600,39.868,1.053,0.025,0.810,0.024,0.990,0.026,0.844,0.013,0.095,1.527,0.014,-0.140,0.327,0.012,3.111,0.058,23.250,0.479,0.517,0.004,0.177,0.001,2.925,0.008,0.000,2.000,0.376,0.009,0.190,0.007,0.075,0.003,0.068,0.001,0.000,0.000,0.066,0.002,1,0,2.350,0.122,1.000,0,1.700,0.213,0.723,1,600.000,,1,0,4.000,3.000,5.120,5.360,96.806,89.359,290.000,45.000,0.189,-0.245,0.115,0.001,0.115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D_austrosaltans,0.925,0.004,0.655,0.009,0.883,0.005,0.535,0.003,1.347,0.022,-0.250,-0.136,0.296,0.011,9.960,0.330,4.250,0.098,0.103,0.004,-0.668,132,0,0,0,0,0.025,0.003,-0.376,111,0.013,0.000,-0.176,60,91.8,303,72.800,,1.013,0.014,0.763,0.009,1.033,0.013,0.797,0.006,-0.151,1.851,0.111,-0.046,0.450,0.016,13.657,0.221,31.400,1.364,0.446,0.004,0.167,0.003,2.667,0.007,0.000,2.000,0.333,0.010,0.404,0.030,0.126,0.004,0.135,0.008,0.002,0.000,0.108,0.002,1,0,19.700,0.384,4.000,0,16.615,0.583,0.843,1,153.000,30.520,1,0,4.000,5.000,3.450,3.100,49.652,42.194,190.000,67.000,0.394,0.352,0.235,0.000,1.621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D_azteca,0.860,0.010,0.628,0.009,0.813,0.009,0.438,0.003,1.225,0.024,0.055,0.066,0.158,0.008,1.430,0.046,1.924,0.049,0.094,0.007,-0.680,133,0,0,0,0,0.022,0.001,-0.401,114,0.008,0.000,0.105,32,78.7,279,10346.667,1443.195,0.860,0.010,0.628,0.009,0.813,0.009,0.438,0.003,-0.351,1.614,0.037,0.025,0.230,0.016,2.617,0.094,62.200,1.393,0.441,0.005,0.160,0.004,2.748,0.006,0.000,2.000,0.152,0.004,0.146,0.006,0.052,0.002,0.073,0.002,0.000,0.000,0.036,0.002,1,0,8.525,0.363,10.000,0,6.462,0.813,0.758,1,337.500,15.042,1,0,4.000,2.000,2.130,1.350,20.065,69.847,51.000,26.000,0.000,0.780,-1.800,0.001,0.503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D_baimaii,0.955,0.017,0.695,0.013,0.830,0.023,0.551,0.007,1.194,0.028,0.098,-0.070,0.199,0.008,1.902,0.043,2.636,0.013,0.203,0.022,-0.004,75,0,0,0,0,0.034,0.002,-0.059,89,0.003,0.001,-1.133,137,108.8,301,1419.800,48.971,0.968,0.018,0.763,0.007,0.893,0.028,0.658,0.008,-0.109,1.336,0.036,-0.250,0.304,0.012,2.241,0.038,20.750,0.629,0.457,0.005,0.153,0.001,2.991,0.006,0.000,2.000,0.320,0.010,0.143,0.002,0.048,0.002,0.054,0.001,0.000,0.000,,,0,1,5.205,0.123,7.000,0,4.882,0.363,0.938,1,600.000,,1,0,4.000,4.000,3.070,3.140,32.250,29.529,136.000,6.000,0.178,-0.071,0.127,0.001,2.073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D_bakoue,0.928,0.009,0.665,0.012,0.735,0.011,0.453,0.004,1.250,0.016,-0.261,-0.120,0.244,0.004,1.790,0.067,1.966,0.391,0.161,0.034,-0.154,89,0,0,0,0,0.017,0.000,-0.655,119,0.017,0.002,0.331,18,59.5,226,1099.000,10.900,1.028,0.007,0.778,0.012,0.790,0.016,0.631,0.006,-0.016,1.525,0.015,-0.047,0.242,0.007,2.833,0.150,23.000,1.000,0.607,0.006,0.207,0.001,2.937,0.014,0.000,2.000,0.398,0.017,0.127,0.022,0.067,0.004,0.064,0.002,0.000,0.000,,,0,1,8.854,0.270,2.000,0,9.200,0.296,1.039,1,214.733,15.170,1,0,4.000,4.000,2.410,2.640,28.092,22.361,40.000,11.000,0.328,-0.228,0.329,0.003,1.022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D_barbarae,0.848,0.014,0.628,0.011,0.843,0.016,0.448,0.004,0.930,0.012,0.121,-0.183,0.150,0.008,1.257,0.135,4.690,0.035,0.136,0.022,-0.316,104,0,0,0,0,0.025,0.002,-0.270,103,0.003,0.001,-0.709,112,107.8,319,1343.000,68.436,0.928,0.017,0.680,0.018,0.855,0.012,0.539,0.006,-0.611,1.178,0.031,-0.535,0.506,0.339,2.221,0.082,20.000,1.291,0.466,0.006,0.155,0.002,3.006,0.006,0.000,2.000,0.477,0.010,0.096,0.011,0.061,0.003,0.057,0.005,0.000,0.000,,,0,1,12.475,1.015,4.000,0,8.286,0.496,0.664,1,600.000,,1,0,4.000,4.000,2.510,2.560,35.718,33.147,92.000,7.000,0.185,-0.052,0.108,0.002,1.494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D_biarmipes,0.948,0.012,0.763,0.043,1.083,0.012,0.782,0.015,1.406,0.018,0.373,0.050,0.219,0.006,1.910,,2.411,0.043,0.214,0.019,-0.098,82,0,0,0,0,0.054,0.003,0.230,67,0.003,0.002,-1.181,140,108,289,1454.400,68.120,1.033,0.016,0.820,0.006,0.930,0.019,0.787,0.007,0.154,1.548,0.019,-0.059,0.264,0.003,3.074,0.049,26.000,0.617,0.576,0.003,0.194,0.002,2.966,0.011,0.000,2.000,0.697,0.016,0.228,0.004,0.074,0.003,0.062,0.001,0.000,0.000,0.066,0.003,1,0,24.634,0.596,21.000,0,18.833,0.910,0.765,1,600.000,,1,0,4.000,2.000,3.130,2.670,80.709,123.115,177.000,46.000,0.007,0.462,-0.609,0.002,2.435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D_bicornuta,0.713,0.007,0.630,0.013,0.773,0.014,0.347,0.003,0.982,0.025,0.265,0.109,0.091,0.010,1.147,0.048,1.569,0.146,0.122,0.012,-0.319,105,0,0,0,0,0.044,0.006,0.405,55,0.002,0.001,-0.527,94,89.5,254,1434.600,134.532,0.833,0.029,0.638,0.009,0.900,0.019,0.478,0.007,0.277,1.346,0.148,0.128,0.092,0.016,1.270,0.070,25.800,0.970,0.514,0.004,0.172,0.001,2.996,0.008,0.000,2.000,0.317,0.007,0.083,0.025,0.045,0.003,0.062,0.001,0.000,0.000,0.026,0.002,1,0,5.425,0.175,2.000,0,4.889,0.279,0.901,1,190.714,9.663,1,0,4.000,4.000,4.920,4.620,47.043,58.116,143.000,56.000,0.318,0.299,-0.305,0.002,0.388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
