Species,v_cop_dur_mean,v_cop_dur_se,RI50,RI50_2,RI50_3,Monandry,remating_cop_dur_mean,remating_cop_dur_se,sperm_per_cop_mean,sperm_per_cop_se,ejection_time_mean,ejection_time_se,sp.l_mean,sp.l_se,SR.l_mean,SR.l_se,th.l.M_mean,th.l.M_se,th.w.M_mean,th.w.M_se,th.h.M_mean,th.h.M_se,th.l.F_mean,th.l.F_se,th.w.F_mean,th.w.F_se,th.h.F_mean,th.h.F_se,Ovariole_mean,Ovariole_se,egg_l_mean,egg_l_se,egg_w_mean,egg_w_se,egg_vol_mean,egg_vol_se,egg_vol_mean2,Sperm_storage_organ,testis.l_mean,testis.l_se,AG.area_mean,AG.area_se,Plug,insemination_rxn,male_dry_mass_mean,male_dry_mass_se,male_dry_testis_mean,male_dry_testis_se,mean_gsi,female_dry_mass_mean,female_dry_mass_se,male_wing_area_mean,male_wing_area_se,female_wing_area_mean,female_wing_area_se,number_appendage,app_l_mean,app_l_se,spth_duct_length_mean,spth_duct_length_se,capsule_length_mean,capsule_length_se,capsule_width_mean,capsule_width_se,introvert_mean,introvert_se,comment
D_arawakana,31.43589744,1.856452755,100,35,,1,,,883.2,37.80661318,0,,2.29252,0.087761805,4.34,0.158629442,0.8825,0.010897247,0.6475,0.008291562,0.875,0.01118034,0.965,0.014469796,0.71,0.013346348,0.925,0.018114221,15.2,0.2,0.4715,0.004070109,0.16305,0.001792492,0.006572811,0.000144274,0.006563295,0,3.12,0.078621456,0.055,0.003464102,1,1,0.3004,0.006698134,0.0031,0.001063015,0.010319574,0.46638,0.008601535,1.1622,0.03301121,1.423,0.032713911,4,0.418142857,0.007778806,0.1354,0.017264414,0.0936,0.003203123,0.0888,0.002310844,0.0398,0.001496663,
D_arizonae,1.365853659,0.076158512,4,4,4,0,1.846153846,0.191021339,1207,66.81915893,423.3333333,5.464532104,1.52,0.01,4.5684,0.162494185,0.84,0.022150056,0.595,0.016105123,0.79,0.026040833,0.9775,0.026925824,0.7325,0.016105123,0.9425,0.03391165,11.9,0.659545298,0.41895,0.003096241,0.1644,0.001865758,0.005945234,0.000142363,0.005928768,1,2.221,0.059349249,0.258,0.016258331,1,1,0.16694,0.011057694,0.0077,0.001337909,0.046124356,0.28792,0.030527142,1.2154,0.050392063,1.51375,0.064329069,4,0.426649351,0.008325626,0.189,0.018346662,,,,,,,non-melanized
D_atripex,2.35,0.121686862,1,1,1,0,1.7,0.213437475,435.6,39.86803231,,,2.556646667,0.010496242,3.1108,0.057812109,0.8675,0.016105123,0.745,0.030771334,1.08,0.030259296,1.0525,0.025124689,0.81,0.02351861,0.99,0.026040833,11.625,0.239356777,0.5172,0.004339901,0.1768,0.00137955,0.008472058,0.000143242,0.008464897,0,3.038,0.293193338,0.251,0.031432467,1,0,0.20298,0.006748881,0.00448,0.000463033,0.02207114,0.3274,0.012086232,1.1502,0.002853069,1.5266,0.01377171,2,0.3757,0.008631369,0.19025,0.007341378,0.07475,0.003119161,0.068,0.000707107,0.06625,0.002286737,
D_austrosaltans,19.7,0.384307569,4,4,4,0,16.61538462,0.583298111,,,153,30.52048492,9.96,0.33,13.657,0.220792889,0.925,0.003952847,0.655,0.009354143,0.8825,0.005,1.0125,0.013693064,0.7625,0.008838835,1.0325,0.013462912,15.7,0.681909085,0.4456,0.004228599,0.1671,0.002982316,0.006584923,0.000290397,0.006514734,0,4.25,0.098137658,0.103,0.003511885,1,0,0.29622,0.010973213,0.0127,0.000457165,0.04287354,0.45046,0.016132935,1.3474,0.021720037,1.851,0.110694625,2,0.332653846,0.010158731,0.4044,0.029675916,0.1256,0.004489989,0.135,0.007880355,0.1084,0.002204541,
D_azteca,8.525,0.363366559,10,10,10,0,6.461538462,0.813471389,,,337.5,15.04160896,1.43,0.046,2.6172,0.093951796,0.86,0.01,0.6275,0.009185587,0.8125,0.008838835,0.86,0.01,0.6275,0.009185587,0.8125,0.008838835,31.1,0.696419414,0.4406,0.005240229,0.16035,0.003665827,0.005992876,0.000281944,0.005931725,0,1.924333333,0.04885466,0.093666667,0.006984109,1,0,0.15836,0.007644776,0.00796,0.000365513,0.050265218,0.2304,0.015783441,1.2246,0.023663474,1.6144,0.036516572,2,0.1521,0.003727032,0.1464,0.005784462,0.052,0.001702939,0.0734,0.00150333,0.0358,0.00156205,
D_baimaii,5.205128205,0.12282926,7,7,7,0,4.882352941,0.362612588,1419.8,48.97080763,,,1.902444444,0.043206795,2.2412,0.03766882,0.955,0.016583124,0.695,0.012869538,0.83,0.022912878,0.9675,0.017940875,0.7625,0.006846532,0.8925,0.02755676,10.375,0.314576435,0.4568,0.004598398,0.1527,0.001308072,0.005585783,0.000115354,0.005577028,1,2.636333333,0.012978615,0.202666667,0.021797044,1,0,0.19944,0.008386096,0.00304,0.00054461,0.01524268,0.30402,0.011684751,1.1936,0.028249956,1.336,0.035662305,2,0.320257143,0.00980399,0.143,0.001683251,0.04825,0.002174665,0.054,0.001414214,,,non-melanized
D_bakoue,8.853658537,0.269509436,2,2,2,0,9.2,0.296005148,1099,10.89954127,214.7333333,15.17018274,1.7895,0.067251394,2.833,0.150117621,0.9275,0.009185587,0.665,0.0121192,0.735,0.011456439,1.0275,0.00728869,0.7775,0.0121192,0.79,0.016007811,11.5,0.5,0.60675,0.005599283,0.2066,0.001246891,0.013574066,0.000218645,0.013560292,1,1.966333333,0.390901664,0.160666667,0.033790202,1,0,0.24446,0.003954567,0.01676,0.001998399,0.068559274,0.2418,0.007100141,1.25,0.015575622,1.5246,0.014664924,2,0.397725,0.017203346,0.127,0.021787611,,,,,,,non-melanized
D_barbarae,12.475,1.015260166,4,4,4,0,8.285714286,0.496455253,1343,68.43610158,,,1.256925,0.135160592,2.2208,0.082282683,0.8475,0.013919411,0.6275,0.010752907,0.8425,0.015612495,0.9275,0.017410485,0.68,0.017940875,0.855,0.011592023,10,0.645497224,0.46595,0.006138522,0.155,0.00229645,0.005888343,0.000185391,0.0058614,1,4.690333333,0.034863225,0.136,0.022113344,1,0,0.14984,0.008275482,0.0033,0.000522494,0.022023492,0.50618,0.338933631,0.93,0.012033287,1.1776,0.030929921,2,0.4774375,0.010433507,0.0958,0.010832359,,,,,,,non-melanized
D_biarmipes,24.63414634,0.596489831,21,21,21,0,18.83333333,0.909822938,1454.4,68.1201879,,,1.91,,3.07375,0.048618284,0.9475,0.0121192,0.7625,0.042573466,1.0825,0.011592023,1.0325,0.016105123,0.82,0.006373774,0.93,0.01879162,13,0.3086067,0.57635,0.003154174,0.1943,0.001875184,0.0114088,0.000217218,0.011392801,0,2.410666667,0.042880972,0.213666667,0.019341952,1,0,0.21902,0.006380313,0.00324,0.001931476,0.01479317,0.26376,0.002606645,1.406,0.0184716,1.5484,0.018811167,2,0.696705882,0.01587839,0.228428571,0.003975264,0.055571429,0.000895947,0.0625,0.000428174,0.0415,0.00067082,
D_bicornuta,5.425,0.175,2,2,2,0,4.888888889,0.278756446,1434.6,134.5323753,190.7142857,9.662678042,1.1467,0.048219049,1.2704,0.069507985,0.7125,0.006846532,0.63,0.012869538,0.7725,0.014469796,0.8325,0.029474565,0.6375,0.008838835,0.9,0.018957189,12.9,0.484767986,0.51375,0.003610566,0.1715,0.001206343,0.007919086,0.000123176,0.007911862,0,1.569,0.145908647,0.121666667,0.011609383,1,0,0.09096,0.010465066,0.00218,0.000505371,0.023966579,0.09218,0.016122946,0.9824,0.024959167,1.346,0.148431466,2,0.317277778,0.006571899,0.0826,0.024534873,0.0454,0.0031241,0.0616,0.00128841,0.0258,0.001907878,
