Species,v_cop_dur_mean,v_cop_dur_se,RI50,RI50_2,RI50_3,Monandry,remating_cop_dur_mean,remating_cop_dur_se,sperm_per_cop_mean,sperm_per_cop_se,ejection_time_mean,ejection_time_se,sp.l_mean,sp.l_se,SR.l_mean,SR.l_se,th.l.M_mean,th.l.M_se,th.w.M_mean,th.w.M_se,th.h.M_mean,th.h.M_se,th.l.F_mean,th.l.F_se,th.w.F_mean,th.w.F_se,th.h.F_mean,th.h.F_se,Ovariole_mean,Ovariole_se,egg_l_mean,egg_l_se,egg_w_mean,egg_w_se,egg_vol_mean,egg_vol_se,egg_vol_mean2,Sperm_storage_organ,testis.l_mean,testis.l_se,AG.area_mean,AG.area_se,Plug,insemination_rxn,male_dry_mass_mean,male_dry_mass_se,male_dry_testis_mean,male_dry_testis_se,mean_gsi,female_dry_mass_mean,female_dry_mass_se,male_wing_area_mean,male_wing_area_se,female_wing_area_mean,female_wing_area_se,number_appendage,app_l_mean,app_l_se,spth_duct_length_mean,spth_duct_length_se,capsule_length_mean,capsule_length_se,capsule_width_mean,capsule_width_se,introvert_mean,introvert_se,comment
D_carrolli,13.93333333,0.613084836,21,21,21,0,13.9,0.835995747,2150.2,143.5860021,,,3.452343333,0.18525075,4.4228,0.120453476,1.142857143,0.014197257,0.895238095,0.010765603,1.095238095,0.007098628,1.250793651,0.011664237,0.93015873,0.013837774,1.168253968,0.017095761,8.1,0.430116263,0.64275,0.003987398,0.2286,0.002858413,0.017626025,0.000410821,0.017587057,0,5.191666667,0.035596504,0.155666667,0.00617342,1,0,0.46586,0.015723918,0.0045,0.000389872,0.009659554,0.62758,0.020588963,1.5378,0.022053118,1.6452,0.072787636,2,0.3598,0.009580298,0.205,0.019214578,0.0754,0.000979796,0.0674,0.003091925,0.058,0.002387467,
D_chauvacae,5.435897436,0.18292448,2,2,2,0,4.857142857,0.253701019,535,32.30325061,166.6666667,9.591663047,3.090794444,0.135785321,4.4434,0.010057833,0.8925,0.019202864,0.65,0.020155644,0.9275,0.049117207,0.93,0.011592023,0.6925,0.006373774,0.92,0.021139418,15.25,0.322748612,0.4709,0.006435878,0.16605,0.002393494,0.006852283,0.000264391,0.006798374,1,4.297333333,0.075344394,0.365,0.013,1,0,0.2275,0.015562744,0.00944,0.001630521,0.041494505,0.306,0.028204379,1.1938,0.052068609,1.4026,0.034296647,2,0.397857143,0.00797415,0.1855,0.004349329,0.05975,0.002719528,0.06625,0.001973787,,,non-melanized
D_curta,12.8,0.425471081,2,2,2,0,12.92307692,1.046738148,342.6,36.30509606,73.5,5.220153254,2.00176,0.016102348,3.229,0.096582089,0.9225,0.004677072,0.725,0.01045825,0.835,0.021433035,1.06,0.015,0.875,0.031124749,1.015,0.018708287,19.2,0.254950976,0.6121,0.018166177,0.21775,0.003194465,0.015484098,0.000903821,0.015196281,1,2.253333333,0.108585348,0.227666667,0.025405599,1,1,0.19324,0.008607357,0.00444,0.000721526,0.022976609,0.44806,0.026974147,1.2532,0.017118411,1.5826,0.0544441,2,0.31565,0.014251655,0.161,0.001048809,,,,,,,non-melanized
D_diplacantha,7.55,0.357967911,7,7,7,0,7.923076923,0.693019577,391.4,15.83856054,201,17.63519209,2.74106,0.10850879,3.206,0.065927991,1.095,0.016583124,0.7775,0.004677072,1.0525,0.019525624,1.1125,0.013110111,0.8425,0.014031215,1.11,0.02417385,11.7,0.339116499,0.5398,0.004752617,0.18305,0.001631072,0.009466558,0.000129669,0.009470458,1,3.011,0.025658007,0.336333333,0.025621172,1,0,0.35136,0.01729704,0.0134,0.000854985,0.038137523,0.58498,0.035175523,1.589,0.025851499,1.8098,0.022931201,2,0.405,0.008752744,0.1662,0.018497027,,,,,,,non-melanized
D_emarginata,41.225,0.895492631,21,21,21,0,38.41666667,1.437897947,46.8,3.056141358,,,10.6,0.72,39.868,0.25483269,0.99,0.004677072,0.7225,0.008291562,0.915,0.00728869,1.1325,0.008477912,0.805,0.010155048,1.0875,0.003952847,18.8,0.254950976,0.4649,0.004904295,0.1675,0.001379359,0.006849737,0.00016103,0.006829482,0,6.69175,0.135873333,0.15975,0.008003905,1,0,0.31278,0.010214127,0.0193,0.003219161,0.061704713,0.47066,0.016128255,1.4048,0.020611647,2.0194,0.026746215,2,0.4058,0.006731544,0.2606,0.031482694,0.1782,0.009997,0.179,0.005709641,0.1128,0.015580116,
D_eohydei,1.7,0.125064086,0.5,0.5,0.5,0,2,0.213200716,82,6.6633325,,,18.11,0.27,27.7018,0.513244133,1.22,0.02186607,0.835,0.025124689,1.07,0.022569338,1.0525,0.022150056,0.695,0.022569338,0.9075,0.017047727,20.2,0.122474487,0.49505,0.002982824,0.1857,0.01110384,0.009571366,0.00167238,0.008938641,0,19.54866667,1.097296729,0.224666667,0.02445631,0,0,0.39934,0.025158907,0.03374,0.002498319,0.084489408,0.50336,0.02565047,2.217,0.072047207,2.457,0.055702783,4,0.481202703,0.008622744,0.2718,0.017103801,,,,,,,non-melanized
D_equinoxialis,15.775,0.529256251,14,14,14,0,20.27272727,1.514120862,,,,,4.7,0.42,12.6012,0.061081421,0.78,0.005471217,0.615,0.00501642,0.706875,0.005769347,0.88125,0.011271908,0.7175,0.009221328,0.900625,0.006248355,11.875,0.314576435,0.4886,0.003268993,0.1686,0.001536229,0.007290478,0.000159413,0.007272224,0,1.570933333,0.0218208,0.376333333,0.011780398,1,0,0.128805,0.004178255,0.01201,0.000437691,0.093241722,0.135355,0.000568307,1.92135,0.030706015,2.40305,0.029833615,2,0.314583333,0.002391457,0.1934,0.009319871,0.1088,0.005678028,0.1122,0.00287054,0.0838,0.007767883,
D_ercepeae,13.74358974,0.539552907,1,1,1,0,13.69230769,0.795698495,410.8,9.366963222,180,11.83215957,2.854888889,0.186594166,7.5946,0.271605155,1.1425,0.012869538,0.7625,0.013110111,1.0675,0.006373774,1.155,0.012869538,0.8375,0.016298006,1.115,0.015512092,15.5,0.447213595,0.4903,0.005010043,0.17665,0.001363577,0.008014336,0.00013147,0.00801102,0,4.453333333,0.217251263,0.255666667,0.011200198,0,0,0.36758,0.010590439,0.0217,0.001791089,0.059034768,0.4955,0.02685513,1.7356,0.02444504,1.8588,0.064194548,2,0.24474359,0.00577347,0.142,0.014494827,0.1234,0.002315167,0.0892,0.000969536,0.1094,0.002441311,
D_erecta,18.73333333,0.488659267,100,35,,1,,,1697.8,20.05342863,246.8181818,20.76133565,1.15045,0.007974334,1.533285714,0.066732841,0.79,0.012747549,0.655,0.011592023,0.7775,0.018708287,1.0025,0.017410485,0.79,0.019921722,0.935,0.015512092,16.14285714,0.82168733,0.4962,0.002429642,0.16695,0.001360099,0.007255028,0.000137045,0.007241495,0,1.244333333,0.086891375,0.176666667,0.005238745,1,0,0.14586,0.008831285,0.00476,0.000868101,0.032634033,0.3944,0.028831302,1.0954,0.037215051,1.3772,0.040937025,2,0.36685,0.008651825,0.1642,0.010106434,0.0386,0.00261916,0.071,0.006156298,0.023,0.001760682,
D_falleni,8.275,0.286417975,100,35,,1,,,381,28.85134312,0,,10.98375,0.71925,14.2092,0.439732919,1.07,0.011592023,0.78,0.01457738,1.005,0.016105123,1.165,0.016955825,0.85,0.008838835,1.0875,0.014252193,15.7,0.583095189,0.4951,0.003398064,0.1857,0.002587521,0.008991307,0.000288789,0.008939544,0,12.18433333,0.265345896,0.169,0.017214335,1,1,0.36314,0.023932835,0.00732,0.001970634,0.020157515,0.6565,0.013034454,1.9268,0.131596505,2.5334,0.06532733,3,0.156105263,0.005196093,0.1526,0.012023311,0.1662,0.00406694,0.09864,0.00342485,0.144,0.002167948,
D_ficusphila,8.581395349,0.262521545,1,1,1,0,7.071428571,0.246287629,739.8,45.72023622,168.3333333,14.95363204,1.8,,2.515,0.042519015,1.0925,0.02186607,0.7425,0.015103807,1.015,0.017410485,1.1575,0.02755676,0.81,0.02806243,1.0325,0.02186607,8.928571429,0.368855557,0.50805,0.005500466,0.1803,0.001452946,0.008660966,0.000173376,0.008647619,0,2.828666667,0.104422752,0.267333333,0.046426764,1,0,0.3361,0.021546926,0.01472,0.000771622,0.043796489,0.25392,0.015706413,1.4634,0.056318381,1.7692,0.072663884,2,0.236342105,0.006713109,0.3478,0.008817029,0.0704,0.001630951,0.095,0.001516575,0.0594,0.0006,
D_formosana,41.275,2.152514183,100,35,,1,,,248.2,63.94872946,,,1.2558,0.044079791,2.382,0.067916125,1.3,0.022747477,0.8225,0.010752907,1.005,0.016583124,1.349206349,0.015873016,0.89,0.013346348,1.0375,0.015811388,24.5,0.40824829,0.48495,0.004564436,0.18525,0.001886064,0.008723668,0.000176768,0.008713889,0,1.348666667,0.076184717,0.155666667,0.024551533,1,0,0.52268,0.033913882,0.02434,0.004060862,0.04656769,0.67678,0.066302801,2.0168,0.059774075,2.4424,0.081522144,4,0.59665,0.012194237,0.1372,0.021756378,0.0848,0.003541186,0.1004,0.002874022,0.0648,0.004726521,
D_fulvimacula,1.414634146,0.077896192,7,7,7,0,2.230769231,0.257050483,361.4,57.86069478,193.5,6.873863542,6.344322222,0.294949588,14.2676,0.251257358,1.498412698,0.023328474,1.003174603,0.01538946,1.403174603,0.02045095,1.644,0.023151674,1.124,0.021354157,1.592,0.01356466,30.2,1.8,0.52135,0.004036853,0.17435,0.001609634,0.00831415,0.000169749,0.008297971,0,8.666666667,0.116712372,0.418333333,0.030278338,1,0,0.88156,0.109553314,0.02488,0.00571169,0.028222696,1.3006,0.124367251,2.8844,0.092090499,3.685,0.098283264,4,0.460586667,0.021166292,0.0314,0.000927362,0.0064,0.000244949,0.0058,0.0002,0.0034,0.000244949,
D_funebris,19.4,0.452627656,100,35,,1,,,261.4,46.28023336,0,,7.182166667,0.078833333,12.532,0.33604345,1.0375,0.006846532,0.75,0.01045825,1,0.013110111,1.257142857,0.026749682,0.888888889,0.016647759,1.180952381,0.028659476,28.9,0.796868873,0.5219,0.003910108,0.17785,0.001435041,0.008649477,0.000137517,0.00864358,0,10.63633333,0.083307329,0.214333333,0.007446103,1,1,0.49138,0.027422516,0.01308,0.001412586,0.02661891,1.03628,0.071094236,1.9612,0.045429506,2.6104,0.048133772,4,0.37435,0.006266266,0.1746,0.028617477,0.1796,0.005035871,0.1486,0.002158703,0.1574,0.007547185,
D_fuyamai,9.425,0.198995877,7,7,7,0,9.538461538,0.215293021,553.6,35.66875383,,,3.174354167,0.132899295,3.8016,0.149382261,1.01,0.019525624,0.7225,0.0225,0.955,0.025495098,1.19,0.027782638,0.835,0.016955825,1.185,0.02417385,9.3,0.2,0.503947368,0.005585839,0.160473684,0.001567895,0.006811758,0.00016316,0.006795031,0,3.318,0.18109758,0.133666667,0.010974718,1,0,0.31648,0.014939458,0.0065,0.000982344,0.020538423,0.54926,0.015098596,1.4312,0.053641775,1.934,0.048071821,2,0.249973684,0.006121632,0.1566,0.018882796,0.079,0.001949359,0.0724,0.0016,0.064,0.002588436,
D_gaucha,46.75,1.036358269,7,7,7,0,30.30769231,2.741851834,,,358.5,12.33896268,3.90001,0.107343924,8.814,0.269737465,1.142857143,0.010038977,0.885714286,0.020327379,1.088888889,0.015552316,1.222222222,0.020695881,0.93015873,0.019179438,1.177777778,0.005939139,18.2,0.339116499,0.42555,0.002911389,0.1598,0.001435637,0.005698428,0.000110401,0.005689876,0,5.689,0.06389314,0.223,0.018147543,1,0,0.44938,0.018934661,0.01564,0.001557113,0.034803507,0.66508,0.012807982,2.0842,0.02590637,2.2042,0.044178502,4,0.33425,0.006650237,0.2956,0.011395613,0.1486,0.00498598,0.1294,0.003695944,0.0948,0.007371567,
D_greeni,16.15789474,0.593380167,7,7,7,0,12.75,0.901387819,813,71.1189145,438.2,80.5586122,4.4958125,0.085038556,5.7242,0.182296846,0.935,0.024811792,0.6875,0.02236068,0.8,0.020155644,0.9675,0.012869538,0.735,0.012747549,0.9,0.013110111,14.1,0.291547595,0.48245,0.003930632,0.16915,0.001904669,0.007239534,0.000161402,0.007227614,1,5.2165,0.0765,0.222666667,0.023729962,1,0,0.2356,0.010866186,0.01206,0.001206068,0.051188455,0.35784,0.008118473,1.3846,0.025558951,1.6328,0.019342699,2,0.315875,0.006972491,0.1728,0.014857321,,,,,,,non-melanized
D_guanche,6.825,0.272423831,7,7,7,0,5.1,0.504424865,,,,,0.27818187,0.003172875,0.433,0.030346334,1.0025,0.010752907,0.635,0.009185587,0.9275,0.004677072,1.035,0.009185587,0.655,0.006373774,0.9775,0.008291562,12.7,0.339116499,0.5202,0.002955459,0.17525,0.001303588,0.008371361,0.000125245,0.008365367,0,0.598666667,0.037772712,0.090333333,0.005174725,1,0,0.24014,0.01419502,0.00542,0.000383927,0.022570167,0.3139,0.024653195,1.4568,0.039115726,1.7274,0.033583627,2,0.208925,0.0062685,0.1248,0.005986652,0.0516,0.001691153,0.0586,0.002204541,0.0168,0.002267157,
D_gunungcola,50.525,3.665848539,21,21,21,0,40.76923077,2.509351347,1611.2,75.14146658,,,1.93672,0.08625146,2.7348,0.348162232,0.8425,0.008477912,0.5975,0.008291562,0.78,0.010155048,0.91,0.01,0.67,0.006373774,0.875,0.01118034,9.1,0.187082869,0.56525,0.00647297,0.1853,0.001831163,0.01019633,0.000258009,0.010162254,0,2.159,0.01123981,0.152,0.010016653,1,0,0.24844,0.011763103,0.00368,0.000346987,0.01481243,0.33996,0.011693699,1.3254,0.032435474,1.529,0.026643949,2,0.074478261,0.004948697,0.1512,0.015441503,0.0754,0.004975942,0.0616,0.002181742,0.0506,0.0027313,
D_hematofila,11.125,0.41477133,7,7,7,0,10.63636364,0.956059405,,,121.5,9.069178574,4.46148,0.054850595,5.9608,0.497968513,1.06,0.0025,0.7075,0.011592023,0.9525,0.015,1.13,0.015103807,0.7825,0.009354143,1.075,0.014790199,20.7,1.019803903,0.4096,0.003004733,0.153,0.00123331,0.005029209,9.66E-05,0.005020436,1,4.751666667,0.087363862,0.483666667,0.038601957,1,1,0.46966,0.017383803,0.02492,0.002363557,0.05305966,0.67806,0.076999277,2.006,0.021243823,2.3888,0.064253716,4,0.443418919,0.0080953,0.2476,0.017013524,0.0372,0.001655295,0.038,0.002097618,0.0254,0.002135416,
D_hydei,1.975,0.066866687,0.5,0.5,0.5,0,1.909090909,0.250619068,89.6,4.935585072,111.8181818,8.90027393,23.32,0.51,46.3006,0.617240358,1.247619048,0.008093682,0.844444444,0.010528968,1.161904762,0.010528968,1.434920635,0.008093682,0.9725,0.008291562,1.311111111,0.013837774,50.4,0.886002257,0.5017,0.002067416,0.1626,0.001444408,0.006955738,0.000125613,0.006945185,0,29.475,0.752017952,0.319666667,0.004702245,1,0,0.70008,0.031487575,0.06278,0.003258128,0.089675466,0.6755,0.083841696,2.608,0.035338364,3.1516,0.122853002,4,0.49395,0.007273058,0.329,,,,,,,,
D_hypocausta,16.15384615,0.968838684,14,14,14,0,12.71428571,1.16933611,448.6,108.2278153,370,36.05551275,3.926833333,0.125166667,7.1516,0.186509946,1.450793651,0.024895853,0.91,0.008291562,1.0975,0.010752907,1.485714286,0.022782064,0.9775,0.031721444,1.025,0.016298006,32,0.758287544,0.5067,0.003755067,0.17385,0.00194973,0.00804556,0.000209123,0.008018607,0,5.715333333,0.080086065,0.39,0.008962886,1,1,1.06934,0.05993819,0.03992,0.000965609,0.037331438,1.6391,0.106510859,2.3544,0.124773635,2.7562,0.062491919,4,0.65695,0.007719767,0.1218,0.004630335,0.153,0.001760682,0.1294,0.004822862,0.1298,0.004223742,
D_immigrans,33.575,2.035860399,100,35,,1,27,2.939873661,721.8,41.39130343,268.56,50.16107654,1.69496,0.02934794,3.781,0.050005,1.374484127,0.036169258,0.92,0.006373774,0.9675,0.02755676,1.476190476,0.010038977,1.0275,0.024811792,1.07,0.020386883,25.7,1.419506957,0.48495,0.005378062,0.1611,0.001647806,0.006618736,0.000184086,0.006590019,0,2.617,0.109585583,0.26,0.012503333,1,1,0.47014,0.038359974,0.02474,0.003307204,0.052622623,0.89254,0.06042831,2.39,0.162290172,3.0822,0.082258981,4,0.450333333,0.00894746,0.0926,0.005005996,0.1144,0.004081666,0.1276,0.001122497,0.0974,0.004032369,
D_insularis,22.4,1.474222959,14,14,14,0,18.54545455,0.918136813,,,447,9.433981132,5.96,0.39,7.1312,0.271222123,0.87375,0.005201531,0.706875,0.006115325,0.838125,0.00669317,0.911875,0.004202423,0.65875,0.005670503,0.815625,0.006274623,15,0.353553391,0.4723,0.005274118,0.16475,0.00250355,0.006738451,0.000212211,0.006712239,0,1.998333333,0.151805065,0.206,0.015373137,1,0,0.310495,0.003606905,0.031005,0.001303487,0.09985668,0.29217,0.004831547,0.977894737,0.0175644,1.264,0.016164939,2,0.23235,0.006342121,0.1876,0.031786161,,,,,,,non-melanized
D_jambulina,6.5,0.254971706,0.5,0.5,0.5,0,6.166666667,0.894709478,652.4,56.73323541,160,22.47220505,2.062291667,0.019399089,2.7942,0.075084219,0.9175,0.022569338,0.6425,0.0075,0.8,0.01045825,1.0225,0.019121323,0.745,0.006373774,0.9625,0.025617377,15.6,0.509901951,0.4315,0.004242951,0.1628,0.001648923,0.005994685,0.000122462,0.005988089,1,2.789,0.04327817,0.307666667,0.079398433,1,0,0.17582,0.001675828,0.007,0.001128273,0.039813446,0.37116,0.005960587,1.3174,0.011311941,1.7118,0.013443958,2,0.3005,0.014533677,0.1874,0.016225289,,,,,,,non-melanized
D_kanapiae,68.76744186,2.080558429,1,1,1,0,74.93333333,2.10094461,507.8,27.16689161,140,21.65063509,2.37288,0.128547292,3.5046,0.047900522,0.7625,0.00559017,0.61,0.012747549,0.6025,0.017410485,0.8875,0.0125,0.6725,0.021433035,0.8725,0.016488632,12.08333333,0.271313677,0.4449,0.0043121,0.15865,0.00191569,0.005886551,0.000170607,0.005863287,1,2.937333333,0.046426764,0.088666667,0.008838049,0,0,0.14372,0.002527331,0.00664,0.000901443,0.046200946,0.23362,0.006055609,0.8726,0.016311346,1.0858,0.030396381,2,0.375777778,0.006074997,0.1805,0.028926631,,,,,,,non-melanized
D_kanekoi,1.804878049,0.116971501,1,1,1,0,2.076923077,0.264612403,48,9.192388155,303.75,38.63462085,24.29,0.18,35.29943185,0.401739971,1.604,0.017204651,1.044,0.013266499,1.412,0.004898979,1.608,0.010198039,1.172,0.010198039,1.452,0.019595918,20.8,0.40620192,0.52655,0.004680011,0.171,0.00109304,0.008074239,0.000142439,0.008061771,0,29.75233333,0.56613318,0.360333333,0.015857,1,0,1.33026,0.077712995,0.10992,0.004144442,0.082630463,1.32924,0.038378244,3.5328,0.034286149,3.6394,0.028320664,4,0.441375,0.008726153,0.141,0.013367872,0.203,0.003271085,0.1772,0.002289105,0.1704,0.002379075,
D_kepulauna,30.9,0.679177481,28,28,28,0,30.53846154,0.561766726,526.8,25.48999804,,,3.649583333,0.228284834,7.9468,0.192726334,1.234920635,0.016187364,0.917460317,0.020937946,1.161904762,0.016187364,1.333333333,0.020695881,1.012698413,0.01538946,1.333333333,0.014197257,13.9,0.4,0.6691,0.00415103,0.2293,0.001638517,0.018429412,0.000255119,0.018420345,0,4.691333333,0.172497665,0.252,0.004041452,1,1,0.35574,0.022333576,0.01244,0.000780128,0.03496936,0.51958,0.014973991,1.5148,0.030102159,2.0966,0.028258804,2,0.331825,0.008332119,0.1058,0.003072458,0.1366,0.004273172,0.1172,0.001984943,0.1002,0.014433988,
D_kikkawai,3.948717949,0.142034181,4,4,4,0,3.142857143,0.142857143,844.8,39.6754332,333.3333333,37.3143553,2.87,,3.756571429,0.107831627,0.9625,0.028777161,0.82,0.01457738,0.945,0.021505813,1.1525,0.00728869,0.8125,0.019764235,1.1175,0.012869538,17.78571429,0.324718612,0.47515,0.004743014,0.16165,0.001703364,0.006523222,0.000172547,0.006501009,0,3.542333333,0.064219243,0.163,0.00321455,1,0,0.40926,0.019303953,0.01106,0.001761988,0.027024385,0.51764,0.017983231,1.3612,0.027253257,1.963,0.028804514,2,0.436214286,0.006821249,0.1856,0.007300228,0.0585,0.002600214,0.0587,0.002338328,,,
D_lacicola,3.051282051,0.168139449,2,2,2,0,2.857142857,0.274505407,507.8,47.45460989,,,2.52,0,3.8915,0.037466652,1.265674603,0.045844069,0.8175,0.010155048,1.13,0.030259296,1.339087302,0.040273868,0.8675,0.012247449,1.23,0.006373774,14.7,0.339116499,0.5546,0.003150104,0.1744,0.001765756,0.008854182,0.000198917,0.008832252,0,3.880333333,0.132013046,0.123333333,0.009955456,0,0,0.5725,0.026177414,0.038,0.003344398,0.066375546,0.94736,0.016385195,2.6636,0.09690129,2.6206,0.133745878,4,0.393759259,0.009863745,0.136,0.003701351,0.1034,0.002088061,0.0944,0.001964688,0.078,0.003098387,
D_lacteicornis,20.975,0.752336105,2,2,2,0,25.42857143,2.293599038,272.2,33.88126326,245.625,43.54223627,5.1955,,6.6468,0.140245998,0.9325,0.021505813,0.68,0.009354143,0.7875,0.006846532,1.035,0.010752907,0.7825,0.012869538,0.95,0.018540496,9.7,0.514781507,0.49945,0.005150613,0.18525,0.003065835,0.009049352,0.000354572,0.008974434,1,6.299666667,0.22938638,0.225333333,0.002603417,0,0,0.23438,0.014594979,0.00428,0.000905759,0.018260944,0.3004,0.014311953,1.0676,0.03855723,1.342,0.067607692,2,0.4105,0.018861631,0.1668,0.013384319,,,,,,,non-melanized
D_leonis,1.95,0.079662751,3,3,3,0,2.692307692,0.286101456,723,18.84144368,,,2.240625,0.058734351,5.2728,0.14796601,1.1875,0.017230061,0.7475,0.012747549,1.0725,0.015512092,1.185,0.016488632,0.7475,0.012747549,1.0725,0.015512092,19.7,0.7,0.46815,0.003667263,0.1569,0.001575971,0.00605199,0.00014289,0.006034337,1,2.822666667,0.080792601,0.332333333,0.020275875,1,0,0.46646,0.008932335,0.0178,0.001571305,0.038159756,0.64312,0.027348444,2.5516,0.089925302,2.9888,0.091778756,4,0.4245875,0.00664723,0.1668,0.004397727,0.0304,0.0026,0.0228,0.001881489,0.0148,0.001827567,
D_littoralis,5.2,0.218385686,1,1,1,0,5.307692308,0.286101456,278.8333333,10.19613216,335,10.89724736,7.72,0.08,10.9008,1.198106523,1.371428571,0.01634227,0.8725,0.00728869,1.1225,0.018285924,1.403174603,0.014720029,0.885,0.010752907,1.19,0.012747549,20.6,0.1,0.5074,0.003927903,0.17875,0.001873464,0.008499563,0.000174948,0.0084887,0,8.059666667,0.084798454,0.477,0.03592121,1,0,0.46322,0.032895614,0.0197,0.002909983,0.042528388,0.52004,0.021373596,2.9854,0.07686976,2.9714,0.029817109,4,0.6398,0.010590465,0.1746,0.015141334,0.128,0.002024846,0.1198,0.001157584,0.1036,0.001860108,
D_lummei,2.375,0.099276227,7,7,7,0,2,0.160128154,572.4,49.07810102,414.5454545,22.63800651,7.79,0.02,11.119,0.422927772,1.313015873,0.032601181,0.945,0.022569338,1.183968254,0.023216609,1.1075,0.010155048,0.7825,0.011592023,0.975,0.020539596,18.7,0.374165739,0.54525,0.004632764,0.1805,0.001889723,0.009337138,0.000248188,0.009301408,0,8.341333333,0.135553597,0.355666667,0.008987646,1,0,0.6934,0.019666088,0.04344,0.004389829,0.062647822,0.83244,0.037645579,2.9256,0.046249973,2.8756,0.050572324,4,0.382740741,0.007216585,0.1818,0.013313151,0.1206,0.002111871,0.1008,0.002083267,0.1044,0.002638181,
D_lutescens,37.55,0.727614649,4,4,4,0,37.75,1.094926315,338.6,29.31313699,,,1.2739,0.043933321,2.4236,0.088761816,1.0625,0.020916501,0.7725,0.008291562,0.93,0.008477912,0.9075,0.013462912,0.6875,0.01045825,0.83,0.02,10.6,0.187082869,0.59015,0.003430724,0.19975,0.001899965,0.012339804,0.000214073,0.012329192,0,1.753666667,0.024168391,0.168333333,0.009386752,1,0,0.3199,0.011710209,0.00728,0.001685645,0.022757112,0.30384,0.007128296,1.7058,0.02320431,2.283,0.060260269,2,0.624214286,0.012232715,0.1842,0.004532108,0.0602,0.001881489,0.072,0.002236068,0.0442,0.002745906,
D_macrospina,27.05128205,0.745611287,14,14,14,0,24.53846154,0.99753147,686.4,72.71698564,322.5,4.90990253,6.943541667,0.248533191,13.1786,0.415311401,1.05,0.014252193,0.7875,0.006846532,1.065,0.021794495,1.206349206,0.017388018,0.882539683,0.014720029,1.098412698,0.009255479,19,0.223606798,0.4342,0.002204779,0.16595,0.004947873,0.006365807,0.000466503,0.006260989,0,8.971333333,0.113679862,0.172666667,0.007838651,1,1,0.4358,0.023384888,0.01742,0.001060849,0.039972464,0.84002,0.019401685,1.8748,0.038296736,2.4398,0.031639216,4,0.2585,0.004811445,0.171,0.014251316,0.15,0.004626013,0.1396,0.008028699,0.0964,0.013455854,
D_malagassya,4.25,0.163102925,2,2,2,0,4.642857143,0.248227626,242,19.83683442,273.1384615,7.367022312,3.87445,0.062828922,5.53028,0.254204442,0.8825,0.011592023,0.68,0.010155048,0.84,0.013346348,0.9125,0.006846532,0.6675,0.009354143,0.825,0.008838835,15,0.353553391,0.6145,0.002704285,0.20045,0.001666189,0.012938525,0.000203106,0.012928038,1,5.056666667,0.146597332,0.273666667,0.034109301,1,0,0.20564,0.014661876,0.01284,0.001463079,0.062439214,0.28142,0.034067483,1.195,0.030384206,1.3454,0.013166624,2,0.349925,0.007242449,0.1596,0.013807969,,,,,,,non-melanized
D_malerkotliana,13.55555556,0.268577808,14,14,14,0,9,0.674199862,1358.8,35.8558224,212.1428571,14.79451084,1.7807,0.090044517,2.45,0.096372714,0.835,0.01,0.65,0.01118034,0.7675,0.03127499,0.965,0.0121192,0.7925,0.012247449,0.94,0.0121192,19,0.547722558,0.4333,0.004032826,0.15655,0.001995356,0.005583748,0.000167304,0.005560239,0,2.496,0.055868894,0.141333333,0.004702245,1,0,0.1595,0.007680039,0.00304,0.001108873,0.019059561,0.23102,0.015668165,1.1186,0.047826353,1.2672,0.017636326,2,0.28775,0.005762344,0.1585,0.012182638,0.07725,0.005006246,0.05575,0.00275,0.06525,0.001108678,
D_mauritiana,15.8,0.24,4,4,4,0,23.7,0.69,,,,,0.98,,1.172714286,0.027025309,0.91,0.008291562,0.685,0.013346348,0.8825,0.017047727,0.95,0.018957189,0.725,0.020155644,0.8975,0.011456439,12.8,0.681909085,0.5205,0.004522168,0.17795,0.001312841,0.008636922,0.0001424,0.00863009,0,1.385,0.056083271,0.103,0.004358899,1,0,0.20966,0.012655299,0.00314,0.000246171,0.014976629,0.29332,0.010822264,1.1602,0.015353827,1.2816,0.091693293,2,0.463380952,0.013582986,0.193142857,0.007045527,0.039428571,0.001616244,0.067714286,0.001016865,0.025833333,0.001777951,
D_mayaguana,7.05,0.25557878,7,7,7,0,8.153846154,0.939490818,1415.8,42.64317061,283.3333333,17.40051085,1.80104,0.028387279,2.9624,0.110498235,0.9875,0.01118034,0.755,0.010155048,0.89,0.01,1.06,0.0121192,0.82,0.012869538,0.985,0.018708287,20,0.612372436,0.45835,0.004554509,0.1524,0.001184105,0.005575972,8.99E-05,0.005573985,1,2.395666667,0.040043032,0.317666667,0.034915772,1,0,0.39084,0.012810332,0.01036,0.000567979,0.026507011,0.56652,0.015126976,1.3498,0.051059181,1.3836,0.004975942,4,0.593214286,0.017786657,0.1966,0.011124747,0.0376,0.002541653,0.0362,0.00168523,,,non-melanized
